domain,google_indexed,archive_api_url
clinton.net,1,http://web.archive.org/cdx/search/cdx?url=clinton.netoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
hotget.com,1,http://web.archive.org/cdx/search/cdx?url=hotget.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
sniperghillies.com,1,http://web.archive.org/cdx/search/cdx?url=sniperghillies.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
flookie.net,1,http://web.archive.org/cdx/search/cdx?url=flookie.netoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
americasbirthday.com,1,http://web.archive.org/cdx/search/cdx?url=americasbirthday.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
politicalgrind.com,1,http://web.archive.org/cdx/search/cdx?url=politicalgrind.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
mccarrenpark.com,1,http://web.archive.org/cdx/search/cdx?url=mccarrenpark.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
hd.ca,1,http://web.archive.org/cdx/search/cdx?url=hd.caoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
betting-casinos.com,1,http://web.archive.org/cdx/search/cdx?url=betting-casinos.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
funnyneel.com,1,http://web.archive.org/cdx/search/cdx?url=funnyneel.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
nhc.com,1,http://web.archive.org/cdx/search/cdx?url=nhc.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
soulmatefind.com,1,http://web.archive.org/cdx/search/cdx?url=soulmatefind.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
vialuxe.com,0,http://web.archive.org/cdx/search/cdx?url=vialuxe.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
saraz.com,1,http://web.archive.org/cdx/search/cdx?url=saraz.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
dinesite.com,0,http://web.archive.org/cdx/search/cdx?url=dinesite.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
opensocialweb.org,1,http://web.archive.org/cdx/search/cdx?url=opensocialweb.orgoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
regimechangeiniran.com,1,http://web.archive.org/cdx/search/cdx?url=regimechangeiniran.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
risa.net,1,http://web.archive.org/cdx/search/cdx?url=risa.netoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
seriesbooks.com,1,http://web.archive.org/cdx/search/cdx?url=seriesbooks.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
mathdork.com,1,http://web.archive.org/cdx/search/cdx?url=mathdork.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
basictips.com,1,http://web.archive.org/cdx/search/cdx?url=basictips.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
furyu.com,1,http://web.archive.org/cdx/search/cdx?url=furyu.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
cluzet.com,1,http://web.archive.org/cdx/search/cdx?url=cluzet.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
scroogle.org,1,http://web.archive.org/cdx/search/cdx?url=scroogle.orgoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
statssheet.com,1,http://web.archive.org/cdx/search/cdx?url=statssheet.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
tadpole.com,1,http://web.archive.org/cdx/search/cdx?url=tadpole.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
gaoth.com,1,http://web.archive.org/cdx/search/cdx?url=gaoth.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
kidspartyfun.com,1,http://web.archive.org/cdx/search/cdx?url=kidspartyfun.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
loveourprices.com,1,http://web.archive.org/cdx/search/cdx?url=loveourprices.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
openwith.org,1,http://web.archive.org/cdx/search/cdx?url=openwith.orgoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
starcraft2forum.org,1,http://web.archive.org/cdx/search/cdx?url=starcraft2forum.orgoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
caricature-software.com,1,http://web.archive.org/cdx/search/cdx?url=caricature-software.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
chat-forum.com,1,http://web.archive.org/cdx/search/cdx?url=chat-forum.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
hobix.com,1,http://web.archive.org/cdx/search/cdx?url=hobix.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
wpherald.com,1,http://web.archive.org/cdx/search/cdx?url=wpherald.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
qualitymedicalsupplies.com,1,http://web.archive.org/cdx/search/cdx?url=qualitymedicalsupplies.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
squurl.com,1,http://web.archive.org/cdx/search/cdx?url=squurl.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
dikti.org,1,http://web.archive.org/cdx/search/cdx?url=dikti.orgoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
